marka,seri,model,yıl,km,vites,yakıt,kasa_tipi,motor_hacmi,motor_gücü,çekiş,fiyat
Audi,A3,A3 Sportback 1.4 TFSI Attraction,2012,130000,Yarı Otomatik,Benzin,Hatchback/3,1390,125,Önden Çekiş,496000
Audi,A6,A6 Sedan 2.0 TDI Quattro,2017,106024,Yarı Otomatik,Dizel,Sedan,1968,190,4WD (Sürekli),1890000
Audi,A4,A4 Sedan 1.8,1996,280000,Düz,LPG & Benzin,Sedan,1781,125,Önden Çekiş,190000
Audi,A4,A4 Sedan 2.0 TDI,2014,120000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,790000
Audi,A4,A4 Sedan 2.0 TDI,2012,156000,Otomatik,Dizel,Sedan,1968,143,Önden Çekiş,735000
Audi,A4,A4 Sedan 1.4 TFSI,2015,66000,Yarı Otomatik,Benzin,Sedan,1395,150,Önden Çekiş,830000
Audi,80 Serisi,1.8 S,1991,238000,Düz,LPG & Benzin,Sedan,1781,90,Önden Çekiş,195000
Audi,A4,A4 Sedan 1.8 TFSI,2010,240000,Otomatik,Benzin,Sedan,1798,120,Önden Çekiş,405000
Audi,A3,A3 Sedan 1.6 TDI Sport Line,2017,70000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,927750
Audi,A4,A4 Sedan 2.0 TFSI Quattro Dynamic,2015,147000,Yarı Otomatik,Benzin,Sedan,1984,252,4WD (Sürekli),955000
Audi,A3,A3 Sportback 30 TDI Sport,2019,74500,Yarı Otomatik,Dizel,Hatchback/5,1598,116,Önden Çekiş,940000
Audi,A3,A3 Sportback 1.6 Ambiente,2004,210000,Otomatik,Benzin,Hatchback/3,1595,102,Önden Çekiş,292000
Audi,A6,A6 Sedan 2.0 TDI,2015,218000,Yarı Otomatik,Dizel,Sedan,1968,190,Önden Çekiş,1250000
Audi,A4,A4 Sedan 2.0 TFSI Quattro Dynamic,2016,140000,Yarı Otomatik,Benzin,Sedan,1984,252,4WD (Sürekli),1200000
Audi,A4,A4 Sedan 2.0 TDI,2015,219000,Otomatik,Dizel,Sedan,1968,150,Önden Çekiş,779000
Audi,A4,A4 Sedan 2.0 TDI Dynamic,2016,198000,Yarı Otomatik,Dizel,Sedan,1968,190,Önden Çekiş,969000
Audi,A6,A6 Sedan 2.0 TDI,2007,284000,Otomatik,Dizel,Sedan,1968,140,Önden Çekiş,429000
Audi,A4,A4 Sedan 2.0 TDI Design,2017,242000,Yarı Otomatik,Dizel,Sedan,1968,190,Önden Çekiş,1190000
Audi,A6,A6 Sedan 1.8 T,1999,330000,Düz,LPG & Benzin,Sedan,1781,150,Önden Çekiş,235000
Audi,80 Serisi,2.0,1991,150000,Otomatik,Benzin,Sedan,1984,115,Önden Çekiş,400000
Audi,A4,A4 Avant 2.0 TDI,2015,107500,Otomatik,Dizel,Station wagon,1968,177,Önden Çekiş,775000
Audi,A6,A6 Sedan 2.8 Quattro,1997,427100,Otomatik,Benzin,Sedan,2771,193,4WD (Sürekli),306500
Audi,A6,A6 Sedan 2.0 TDI Quattro,2016,216000,Yarı Otomatik,Dizel,Sedan,1968,190,4WD (Sürekli),1490000
Audi,A4,A4 Sedan 2.0 TDI,2008,210000,Otomatik,Dizel,Sedan,1900,138,Önden Çekiş,505000
Audi,A3,A3 Sportback 1.4 TFSI Ambiente,2008,183500,Düz,Benzin,Hatchback/3,1390,125,Önden Çekiş,365000
Audi,A3,A3 Sportback 2.0 FSI Ambition,2004,300000,Düz,Benzin,Hatchback/3,1984,150,Önden Çekiş,215000
Audi,A4,A4 Sedan 2.0 TDI,2014,208000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,800000
Audi,A4,A4 Sedan 2.0 TDI,2013,213000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,695000
Audi,A3,A3 Sportback 1.6 Ambiente,2001,303000,Düz,LPG & Benzin,Hatchback/5,1595,102,Önden Çekiş,160000
Audi,A3,A3 Sportback 2.0 TDI Ambition,2006,270000,Düz,Dizel,Hatchback/3,1968,140,Önden Çekiş,230000
Audi,A6,A6 Sedan 2.0 TDI,2009,309000,Otomatik,Dizel,Sedan,1968,140,Önden Çekiş,499999
Audi,A3,A3 Sportback 1.6 Attraction,2011,177000,Yarı Otomatik,Benzin,Hatchback/3,1595,102,Önden Çekiş,465000
Audi,A5,A5 Sportback 2.0 TDI,2012,204000,Otomatik,Dizel,Hatchback/5,1968,177,Önden Çekiş,1060000
Audi,A3,A3 Sportback 1.4 TFSI Ambition,2012,70000,Yarı Otomatik,Benzin,Hatchback/5,1390,125,Önden Çekiş,605000
Audi,A5,A5 Sportback 2.0 TDI,2015,115000,Otomatik,Dizel,Hatchback/5,1968,177,Önden Çekiş,1249850
Audi,A3,A3 Sportback 1.2 TFSI Attraction,2012,198200,Düz,Benzin,Hatchback/5,1197,105,Önden Çekiş,362500
Audi,A3,A3 Sedan 1.6 TDI Attraction,2015,230000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,600000
Audi,A3,A3 Sportback 1.6 Sportback Ambition,2009,180500,Yarı Otomatik,LPG & Benzin,Hatchback/5,1595,102,Önden Çekiş,470000
Audi,A4,A4 Sedan 2.0 TFSI Quattro,2010,162000,Otomatik,Benzin,Sedan,1984,200,4WD (Sürekli),565000
Audi,A3,A3 Sportback 1.6 Ambiente,2001,335000,Otomatik,LPG & Benzin,Hatchback/3,1595,101,Önden Çekiş,185000
Audi,A3,A3 Sportback 1.6 Attraction,2006,320000,Otomatik,LPG & Benzin,Hatchback/3,1595,102,Önden Çekiş,295000
Audi,A4,A4 Sedan 1.6,2008,317000,Düz,Benzin,Sedan,1595,102,Önden Çekiş,385000
Audi,A3,A3 Sportback 1.6 TDI Attraction,2012,139000,Yarı Otomatik,Dizel,Hatchback/3,1598,105,Önden Çekiş,515000
Audi,A6,A6 Sedan 2.0 TDI Quattro,2016,168000,Yarı Otomatik,Dizel,Sedan,1968,190,4WD (Sürekli),1500000
Audi,A3,A3 Sportback 1.4 TFSI Ambition,2010,184000,Yarı Otomatik,Benzin,Hatchback/5,1390,125,Önden Çekiş,411000
Audi,A4,A4 Sedan 1.8 TFSI,2008,290000,Otomatik,Benzin,Sedan,1798,160,Önden Çekiş,480000
Audi,A3,A3 Sedan 1.6 TDI Attraction,2015,172000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,645000
Audi,A3,A3 Sedan 1.6 TDI Attraction,2014,120000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,710000
Audi,A4,A4 Sedan 2.0 TDI,2013,258000,Düz,Dizel,Sedan,1968,177,Önden Çekiş,650000
Audi,A6,A6 Sedan 1.8 T,2004,370000,Otomatik,LPG & Benzin,Sedan,1781,150,Önden Çekiş,265000
Audi,80 Serisi,1.8 S,1991,285000,Düz,LPG & Benzin,Sedan,1781,90,Önden Çekiş,103500
Audi,A8,4.2 Quattro,1996,410000,Otomatik,Benzin,Sedan,4172,300,4WD (Sürekli),299000
Audi,A6,A6 Sedan 2.0 TDI,2008,286000,Otomatik,Dizel,Sedan,1968,140,Önden Çekiş,600000
Audi,A3,A3 Sedan 1.6 TDI Design Line,2017,125000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,813000
Audi,A4,A4 Sedan 2.0 TDI Sport,2015,180000,Yarı Otomatik,Dizel,Sedan,1968,190,Önden Çekiş,700000
Audi,A5,A5 Sportback 2.0 TDI,2011,270000,Otomatik,Dizel,Hatchback/5,1968,142,Önden Çekiş,640000
Audi,A3,A3 Sedan 1.4 TFSI Ambition,2013,159000,Yarı Otomatik,Benzin,Sedan,1395,140,Önden Çekiş,653000
Audi,A3,A3 Sportback 1.6 TDI Attraction,2015,107000,Yarı Otomatik,Dizel,Hatchback/5,1598,110,Önden Çekiş,685000
Audi,A3,A3 Sportback 1.6 TDI Dynamic,2016,119000,Yarı Otomatik,Dizel,Hatchback/5,1598,110,Önden Çekiş,705000
Audi,A3,A3 Sedan 1.6 TDI Ambition,2015,145000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,750000
Audi,A3,A3 Sportback 1.0 TFSI Dynamic,2016,95000,Yarı Otomatik,Benzin,Hatchback/5,999,116,Önden Çekiş,760000
Audi,A3,A3 Sportback 1.6 Attraction,2012,136000,Düz,LPG & Benzin,Hatchback/3,1595,102,Önden Çekiş,427000
Audi,A6,A6 Sedan 2.0 TDI,2012,283000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,1010000
Audi,A3,A3 Sedan 35 TFSI Dynamic,2020,51500,Yarı Otomatik,Benzin,Hatchback/5,1498,150,Önden Çekiş,1010000
Audi,A3,A3 Sedan 30 TFSI Dynamic,2021,49040,Yarı Otomatik,Benzin,Sedan,999,116,Önden Çekiş,1275000
Audi,A6,A6 Sedan 2.0 TDI,2014,160000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,1425000
Audi,A6,A6 Sedan 2.0 TDI,2011,409000,Otomatik,Dizel,Sedan,1968,170,Önden Çekiş,525000
Audi,A3,A3 Sedan 1.6 TDI Design Line,2017,90178,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,870000
Audi,A4,A4 Sedan 1.8 T,1999,350200,Düz,LPG & Benzin,Sedan,1781,150,Önden Çekiş,173000
Audi,A3,A3 Sportback 1.6 Ambition,2007,275000,Düz,LPG & Benzin,Hatchback/3,1595,102,Önden Çekiş,359750
Audi,A3,A3 Sportback 1.6 TDI Ambition,2013,106000,Yarı Otomatik,Dizel,Hatchback/5,1598,105,Önden Çekiş,720000
Audi,A4,A4 Sedan 2.0 TDI,2014,142000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,630000
Audi,A6,A6 Sedan 2.0 Quattro,2018,69000,Yarı Otomatik,Dizel,Sedan,1968,190,4WD (Sürekli),1930000
Audi,A3,A3 Sportback 1.6 Sportback Attraction,2010,240000,Yarı Otomatik,LPG & Benzin,Hatchback/5,1595,102,Önden Çekiş,441500
Audi,A5,A5 Sportback 2.0 TDI Quattro,2013,266000,Yarı Otomatik,Dizel,Hatchback/5,1968,177,4WD (Sürekli),845900
Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017,124500,Yarı Otomatik,Dizel,Sedan,1598,116,Önden Çekiş,738000
Audi,A4,A4 Sedan 2.0 TDI Design,2016,125400,Yarı Otomatik,Dizel,Sedan,1968,190,Önden Çekiş,1049900
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,208631,Yarı Otomatik,Dizel,Sedan,1968,190,4WD (Sürekli),1298000
Audi,A5,A5 Sportback 2.0 TDI,2017,141042,Otomatik,Dizel,Hatchback/5,1968,177,Önden Çekiş,1760000
Audi,A3,A3 Sportback 1.6 Ambiente,1998,236755,Otomatik,LPG & Benzin,Hatchback/3,1595,101,Önden Çekiş,187000
Audi,A3,A3 Sedan 1.6 TDI Attraction,2013,247000,Yarı Otomatik,Dizel,Sedan,1598,105,Önden Çekiş,640000
Audi,A6,A6 Sedan 2.0 TFSI,2008,307000,Otomatik,Benzin,Sedan,1984,170,Önden Çekiş,512500
Audi,A3,A3 Sportback 1.6 Ambiente,2015,193435,Otomatik,Dizel,Hatchback/5,1598,110,Önden Çekiş,629000
Audi,A4,A4 Sedan 2.0 TDI,2012,278000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,592000
Audi,A7,3.0 TDI,2013,189000,Yarı Otomatik,Dizel,Coupe,2967,245,4WD (Sürekli),1875000
Audi,A3,A3 Sedan 1.6 TDI Ambition,2014,66000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,725000
Audi,A3,A3 Sportback 1.6 TDI Design Line,2016,65000,Yarı Otomatik,Dizel,Hatchback/5,1598,110,Önden Çekiş,645000
Audi,A3,A3 Sedan 35 TFSI Dynamic,2020,48000,Yarı Otomatik,Benzin,Hatchback/5,1498,150,Önden Çekiş,1075000
Audi,A3,A3 Sedan 35 TFSI Dynamic,2020,74000,Yarı Otomatik,Benzin,Sedan,1498,150,Önden Çekiş,967000
Audi,A3,A3 Sportback 1.6 Attraction,1998,288000,Otomatik,LPG & Benzin,Hatchback/3,1595,101,Önden Çekiş,215000
Audi,A3,A3 Sedan 1.6 TDI Design Line,2018,80000,Yarı Otomatik,Dizel,Sedan,1500,113,Önden Çekiş,919900
